MW, Production, PL, Alloy, Num, Diameter, MTemp, BTemp, BL, ExSpeed, SmST, SpST, OtherST, FlST, OxST, Mould1, Mould2, Mould6, Mould16, DevBL, DevProduction, DevBTemp, BLLow, BLMed, BLHigh, ProductionLow, ProductionMed, ProductionHigh, BTempLow, BTempMed, BTempHigh
1.065,1770.03,6000,1,2,260,470,452.53,888,10,0,0,0,0,1,0,0,1,0,0.183039410216763,-0.324106218,-0.195331,0,1,0,0,1,0,0,1,0
0.772,928.7932,5300,1,1,260,516.5,462.53,897,8,0,1,0,0,0,1,0,0,0,0.239073688926597,-0.606894805,0.166208384464812,0,1,0,0,1,0,0,1,0
0.763,6576.297,5100,0,2,260,470,458.53,475,7.6,0,1,0,0,0,1,0,0,0,-2.388311379,1.29155949926333,0.0215926306395298,1,0,0,0,0,1,0,1,0
2.166,4561.596,5400,1,1,260,470,420.53,1266,6,0,1,0,0,0,1,0,0,0,2.53647911602981,0.614301382812161,-1.352257031,0,0,1,0,0,1,1,0,0
1.319,2933.9836,5360,1,1,260,459.4,430.53,918,9.2,0,1,0,0,0,1,0,0,0,0.369820339249544,0.067166245470901,-0.990717646,0,0,1,0,1,0,1,0,0
2.35,8839.1138,5475,1,1,260,470,472,846,8.1,0,1,0,0,0,1,0,0,0,-0.07845389,2.05222375854651,0.508586181646169,0,1,0,0,0,1,0,0,1
0.645,23.22,6000,0,2,260,500.7,450.53,842,6.7,0,0,0,0,1,0,1,0,0,-0.103358014,-0.911310597,-0.267638877,0,1,0,1,0,0,0,1,0
2.247,1287.05,6000,1,1,328,438,420,883,10,0,0,1,0,0,0,1,0,0,0.151909255377966,-0.48646387,-1.371418618,0,1,0,0,1,0,1,0,0
2.35,8839.1138,5475,1,1,260,470,478,862,8.1,0,1,0,0,0,1,0,0,0,0.0211626050550191,2.05222375854651,0.725509812384092,0,1,0,0,0,1,0,0,1
2.602,312.24,6000,1,1,260,472.5,432.53,918,7.3,0,0,0,1,0,1,0,0,0,0.369820339249544,-0.814154175,-0.918409769,0,0,1,1,0,0,1,0,0
1.988,3809.89,5650,1,1,260,478,420.53,913,8,0,1,0,0,0,1,0,0,0,0.338690184410747,0.361609301116145,-1.352257031,0,1,0,0,0,1,1,0,0
0.679,273.3654,6100,0,2,260,435.7,446.53,955,9,0,0,0,1,0,1,0,0,0,0.600183485056641,-0.827222188,-0.412254631,0,0,1,1,0,0,0,1,0
1.934,209.2201,6010,0,1,260,447.9,416.53,473,6.1,1,0,0,0,0,1,0,0,0,-2.400763441,-0.848785152,-1.496872785,1,0,0,1,0,0,1,0,0
2.002,2267.21,6100,1,1,260,487.7,418.53,949,6.7,0,0,0,1,0,1,0,0,0,0.562827299250085,-0.15697512,-1.424564908,0,0,1,0,1,0,1,0,0
0.817,1196.1697,6050,0,2,260,510,474.53,702,7,0,1,0,0,0,1,0,0,0,-0.97500235,-0.517014022,0.600055645940659,1,0,0,0,1,0,0,0,1
1.39,1623.6,5400,1,1,260,503.8,450.53,763,6.7,0,0,0,1,0,1,0,0,0,-0.595214461,-0.373329852,-0.267638877,1,0,0,0,1,0,0,1,0
